Breed,Country of Origin,Fur Color,Height,Color of Eyes,Longevity,Character Traits,Common Health Problems
German Shepherd,Germany,Tan,22-26,Brown,7-10,confident,elbow dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,confident,pancreatitis
German Shepherd,Germany,Tan,22-26,Brown,7-10,trainable,Hip dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,trainable,elbow dysplasia
German Shepherd,Germany,Tan,22-26,Brown,7-10,trainable,pancreatitis
Bulldog,England,White,12-16,Brown,8-10,Loyal,Skin allergies
Bulldog,England,White,12-16,Brown,8-10,Loyal,respiratory issues
Bulldog,England,White,12-16,Brown,8-10,Loyal,obesity
Bulldog,England,White,12-16,Brown,8-10,calm,Skin allergies
Bulldog,England,White,12-16,Brown,8-10,calm,respiratory issues
Bulldog,England,White,12-16,Brown,8-10,calm,obesity
Bulldog,England,White,12-16,Brown,8-10,gentle,Skin allergies
Bulldog,England,White,12-16,Brown,8-10,gentle,respiratory issues
Bulldog,England,White,12-16,Brown,8-10,gentle,obesity
Bulldog,England,White,12-16,Brown,8-10,brave,Skin allergies
Bulldog,England,White,12-16,Brown,8-10,brave,respiratory issues
Bulldog,England,White,12-16,Brown,8-10,brave,obesity
Bulldog,England,Red,12-16,Brown,8-10,Loyal,Skin allergies
Bulldog,England,Red,12-16,Brown,8-10,Loyal,respiratory issues
Bulldog,England,Red,12-16,Brown,8-10,Loyal,obesity
Bulldog,England,Red,12-16,Brown,8-10,calm,Skin allergies
Bulldog,England,Red,12-16,Brown,8-10,calm,respiratory issues
Bulldog,England,Red,12-16,Brown,8-10,calm,obesity
Bulldog,England,Red,12-16,Brown,8-10,gentle,Skin allergies
Bulldog,England,Red,12-16,Brown,8-10,gentle,respiratory issues
Bulldog,England,Red,12-16,Brown,8-10,gentle,obesity
Bulldog,England,Red,12-16,Brown,8-10,brave,Skin allergies
Bulldog,England,Red,12-16,Brown,8-10,brave,respiratory issues
Bulldog,England,Red,12-16,Brown,8-10,brave,obesity
Poodle,France,White,10-15,Brown,12-15,Intelligent,Hip dysplasia
Poodle,France,White,10-15,Brown,12-15,Intelligent,epilepsy
Poodle,France,White,10-15,Brown,12-15,Intelligent,bladder stones
Poodle,France,White,10-15,Brown,12-15,active,Hip dysplasia
Poodle,France,White,10-15,Brown,12-15,active,epilepsy
Poodle,France,White,10-15,Brown,12-15,active,bladder stones
Poodle,France,White,10-15,Brown,12-15,affectionate,Hip dysplasia
Poodle,France,White,10-15,Brown,12-15,affectionate,epilepsy
Poodle,France,White,10-15,Brown,12-15,affectionate,bladder stones
Poodle,France,White,10-15,Brown,12-15,hypoallergenic,Hip dysplasia
Poodle,France,White,10-15,Brown,12-15,hypoallergenic,epilepsy
Poodle,France,White,10-15,Brown,12-15,hypoallergenic,bladder stones
Poodle,France,White,10-15,Blue,12-15,Intelligent,Hip dysplasia
Poodle,France,White,10-15,Blue,12-15,Intelligent,epilepsy
Poodle,France,White,10-15,Blue,12-15,Intelligent,bladder stones
Poodle,France,White,10-15,Blue,12-15,active,Hip dysplasia
Poodle,France,White,10-15,Blue,12-15,active,epilepsy
Poodle,France,White,10-15,Blue,12-15,active,bladder stones
Poodle,France,White,10-15,Blue,12-15,affectionate,Hip dysplasia
Poodle,France,White,10-15,Blue,12-15,affectionate,epilepsy
Poodle,France,White,10-15,Blue,12-15,affectionate,bladder stones
Poodle,France,White,10-15,Blue,12-15,hypoallergenic,Hip dysplasia
Poodle,France,White,10-15,Blue,12-15,hypoallergenic,epilepsy
Poodle,France,White,10-15,Blue,12-15,hypoallergenic,bladder stones
Poodle,France,Black,10-15,Brown,12-15,Intelligent,Hip dysplasia
Poodle,France,Black,10-15,Brown,12-15,Intelligent,epilepsy
Poodle,France,Black,10-15,Brown,12-15,Intelligent,bladder stones
Poodle,France,Black,10-15,Brown,12-15,active,Hip dysplasia
Poodle,France,Black,10-15,Brown,12-15,active,epilepsy
Poodle,France,Black,10-15,Brown,12-15,active,bladder stones
Poodle,France,Black,10-15,Brown,12-15,affectionate,Hip dysplasia
Poodle,France,Black,10-15,Brown,12-15,affectionate,epilepsy
Poodle,France,Black,10-15,Brown,12-15,affectionate,bladder stones
Poodle,France,Black,10-15,Brown,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Black,10-15,Brown,12-15,hypoallergenic,epilepsy
Poodle,France,Black,10-15,Brown,12-15,hypoallergenic,bladder stones
Poodle,France,Black,10-15,Blue,12-15,Intelligent,Hip dysplasia
Poodle,France,Black,10-15,Blue,12-15,Intelligent,epilepsy
Poodle,France,Black,10-15,Blue,12-15,Intelligent,bladder stones
Poodle,France,Black,10-15,Blue,12-15,active,Hip dysplasia
Poodle,France,Black,10-15,Blue,12-15,active,epilepsy
Poodle,France,Black,10-15,Blue,12-15,active,bladder stones
Poodle,France,Black,10-15,Blue,12-15,affectionate,Hip dysplasia
Poodle,France,Black,10-15,Blue,12-15,affectionate,epilepsy
Poodle,France,Black,10-15,Blue,12-15,affectionate,bladder stones
Poodle,France,Black,10-15,Blue,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Black,10-15,Blue,12-15,hypoallergenic,epilepsy
Poodle,France,Black,10-15,Blue,12-15,hypoallergenic,bladder stones
Poodle,France,Brown,10-15,Brown,12-15,Intelligent,Hip dysplasia
Poodle,France,Brown,10-15,Brown,12-15,Intelligent,epilepsy
Poodle,France,Brown,10-15,Brown,12-15,Intelligent,bladder stones
Poodle,France,Brown,10-15,Brown,12-15,active,Hip dysplasia
Poodle,France,Brown,10-15,Brown,12-15,active,epilepsy
Poodle,France,Brown,10-15,Brown,12-15,active,bladder stones
Poodle,France,Brown,10-15,Brown,12-15,affectionate,Hip dysplasia
Poodle,France,Brown,10-15,Brown,12-15,affectionate,epilepsy
Poodle,France,Brown,10-15,Brown,12-15,affectionate,bladder stones
Poodle,France,Brown,10-15,Brown,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Brown,10-15,Brown,12-15,hypoallergenic,epilepsy
Poodle,France,Brown,10-15,Brown,12-15,hypoallergenic,bladder stones
Poodle,France,Brown,10-15,Blue,12-15,Intelligent,Hip dysplasia
Poodle,France,Brown,10-15,Blue,12-15,Intelligent,epilepsy
Poodle,France,Brown,10-15,Blue,12-15,Intelligent,bladder stones
Poodle,France,Brown,10-15,Blue,12-15,active,Hip dysplasia
Poodle,France,Brown,10-15,Blue,12-15,active,epilepsy
Poodle,France,Brown,10-15,Blue,12-15,active,bladder stones
Poodle,France,Brown,10-15,Blue,12-15,affectionate,Hip dysplasia
Poodle,France,Brown,10-15,Blue,12-15,affectionate,epilepsy
Poodle,France,Brown,10-15,Blue,12-15,affectionate,bladder stones
Poodle,France,Brown,10-15,Blue,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Brown,10-15,Blue,12-15,hypoallergenic,epilepsy
Poodle,France,Brown,10-15,Blue,12-15,hypoallergenic,bladder stones
Poodle,France,Apricot,10-15,Brown,12-15,Intelligent,Hip dysplasia
Poodle,France,Apricot,10-15,Brown,12-15,Intelligent,epilepsy
Poodle,France,Apricot,10-15,Brown,12-15,Intelligent,bladder stones
Poodle,France,Apricot,10-15,Brown,12-15,active,Hip dysplasia
Poodle,France,Apricot,10-15,Brown,12-15,active,epilepsy
Poodle,France,Apricot,10-15,Brown,12-15,active,bladder stones
Poodle,France,Apricot,10-15,Brown,12-15,affectionate,Hip dysplasia
Poodle,France,Apricot,10-15,Brown,12-15,affectionate,epilepsy
Poodle,France,Apricot,10-15,Brown,12-15,affectionate,bladder stones
Poodle,France,Apricot,10-15,Brown,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Apricot,10-15,Brown,12-15,hypoallergenic,epilepsy
Poodle,France,Apricot,10-15,Brown,12-15,hypoallergenic,bladder stones
Poodle,France,Apricot,10-15,Blue,12-15,Intelligent,Hip dysplasia
Poodle,France,Apricot,10-15,Blue,12-15,Intelligent,epilepsy
Poodle,France,Apricot,10-15,Blue,12-15,Intelligent,bladder stones
Poodle,France,Apricot,10-15,Blue,12-15,active,Hip dysplasia
Poodle,France,Apricot,10-15,Blue,12-15,active,epilepsy
Poodle,France,Apricot,10-15,Blue,12-15,active,bladder stones
Poodle,France,Apricot,10-15,Blue,12-15,affectionate,Hip dysplasia
Poodle,France,Apricot,10-15,Blue,12-15,affectionate,epilepsy
Poodle,France,Apricot,10-15,Blue,12-15,affectionate,bladder stones
Poodle,France,Apricot,10-15,Blue,12-15,hypoallergenic,Hip dysplasia
Poodle,France,Apricot,10-15,Blue,12-15,hypoallergenic,epilepsy
Poodle,France,Apricot,10-15,Blue,12-15,hypoallergenic,bladder stones
Beagle,England,White,13-15,Brown,12-15,Curious,Ear infections
Beagle,England,White,13-15,Brown,12-15,Curious,hip dysplasia
Beagle,England,White,13-15,Brown,12-15,Curious,epilepsy
Beagle,England,White,13-15,Brown,12-15,friendly,Ear infections
Beagle,England,White,13-15,Brown,12-15,friendly,hip dysplasia
Beagle,England,White,13-15,Brown,12-15,friendly,epilepsy
Beagle,England,White,13-15,Brown,12-15,energetic,Ear infections
Beagle,England,White,13-15,Brown,12-15,energetic,hip dysplasia
Beagle,England,White,13-15,Brown,12-15,energetic,epilepsy
Beagle,England,White,13-15,Brown,12-15,good-natured,Ear infections
Beagle,England,White,13-15,Brown,12-15,good-natured,hip dysplasia
Beagle,England,White,13-15,Brown,12-15,good-natured,epilepsy
Beagle,England,Tan,13-15,Brown,12-15,Curious,Ear infections
Beagle,England,Tan,13-15,Brown,12-15,Curious,hip dysplasia
Beagle,England,Tan,13-15,Brown,12-15,Curious,epilepsy
Beagle,England,Tan,13-15,Brown,12-15,friendly,Ear infections
Beagle,England,Tan,13-15,Brown,12-15,friendly,hip dysplasia
Beagle,England,Tan,13-15,Brown,12-15,friendly,epilepsy
Beagle,England,Tan,13-15,Brown,12-15,energetic,Ear infections
Beagle,England,Tan,13-15,Brown,12-15,energetic,hip dysplasia
Beagle,England,Tan,13-15,Brown,12-15,energetic,epilepsy
Beagle,England,Tan,13-15,Brown,12-15,good-natured,Ear infections
Beagle,England,Tan,13-15,Brown,12-15,good-natured,hip dysplasia
Beagle,England,Tan,13-15,Brown,12-15,good-natured,epilepsy
Beagle,England,Red,13-15,Brown,12-15,Curious,Ear infections
Beagle,England,Red,13-15,Brown,12-15,Curious,hip dysplasia
Beagle,England,Red,13-15,Brown,12-15,Curious,epilepsy
Beagle,England,Red,13-15,Brown,12-15,friendly,Ear infections
Beagle,England,Red,13-15,Brown,12-15,friendly,hip dysplasia
Beagle,England,Red,13-15,Brown,12-15,friendly,epilepsy
Beagle,England,Red,13-15,Brown,12-15,energetic,Ear infections
Beagle,England,Red,13-15,Brown,12-15,energetic,hip dysplasia
Beagle,England,Red,13-15,Brown,12-15,energetic,epilepsy
Beagle,England,Red,13-15,Brown,12-15,good-natured,Ear infections
Beagle,England,Red,13-15,Brown,12-15,good-natured,hip dysplasia
Beagle,England,Red,13-15,Brown,12-15,good-natured,epilepsy
Beagle,England,Lemon,13-15,Brown,12-15,Curious,Ear infections
Beagle,England,Lemon,13-15,Brown,12-15,Curious,hip dysplasia
Beagle,England,Lemon,13-15,Brown,12-15,Curious,epilepsy
Beagle,England,Lemon,13-15,Brown,12-15,friendly,Ear infections
Beagle,England,Lemon,13-15,Brown,12-15,friendly,hip dysplasia
Beagle,England,Lemon,13-15,Brown,12-15,friendly,epilepsy
Beagle,England,Lemon,13-15,Brown,12-15,energetic,Ear infections
Beagle,England,Lemon,13-15,Brown,12-15,energetic,hip dysplasia
Beagle,England,Lemon,13-15,Brown,12-15,energetic,epilepsy
Beagle,England,Lemon,13-15,Brown,12-15,good-natured,Ear infections
Beagle,England,Lemon,13-15,Brown,12-15,good-natured,hip dysplasia
Beagle,England,Lemon,13-15,Brown,12-15,good-natured,epilepsy
Chihuahua,Mexico,Black,6-9,Brown,12-20,Loyal,Dental problems
Chihuahua,Mexico,Black,6-9,Brown,12-20,Loyal,eye issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,energetic,Dental problems
Chihuahua,Mexico,Black,6-9,Brown,12-20,energetic,eye issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,energetic,respiratory issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,confident,Dental problems
Chihuahua,Mexico,Black,6-9,Brown,12-20,confident,eye issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,confident,respiratory issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,sensitive,Dental problems
Chihuahua,Mexico,Black,6-9,Brown,12-20,sensitive,eye issues
Chihuahua,Mexico,Black,6-9,Brown,12-20,sensitive,respiratory issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,Loyal,Dental problems
Chihuahua,Mexico,Black,6-9,Blue,12-20,Loyal,eye issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,energetic,Dental problems
Chihuahua,Mexico,Black,6-9,Blue,12-20,energetic,eye issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,energetic,respiratory issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,confident,Dental problems
Chihuahua,Mexico,Black,6-9,Blue,12-20,confident,eye issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,confident,respiratory issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,sensitive,Dental problems
Chihuahua,Mexico,Black,6-9,Blue,12-20,sensitive,eye issues
Chihuahua,Mexico,Black,6-9,Blue,12-20,sensitive,respiratory issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,Loyal,Dental problems
Chihuahua,Mexico,Brown,6-9,Brown,12-20,Loyal,eye issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,energetic,Dental problems
Chihuahua,Mexico,Brown,6-9,Brown,12-20,energetic,eye issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,energetic,respiratory issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,confident,Dental problems
Chihuahua,Mexico,Brown,6-9,Brown,12-20,confident,eye issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,confident,respiratory issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,sensitive,Dental problems
Chihuahua,Mexico,Brown,6-9,Brown,12-20,sensitive,eye issues
Chihuahua,Mexico,Brown,6-9,Brown,12-20,sensitive,respiratory issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,Loyal,Dental problems
Chihuahua,Mexico,Brown,6-9,Blue,12-20,Loyal,eye issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,energetic,Dental problems
Chihuahua,Mexico,Brown,6-9,Blue,12-20,energetic,eye issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,energetic,respiratory issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,confident,Dental problems
Chihuahua,Mexico,Brown,6-9,Blue,12-20,confident,eye issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,confident,respiratory issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,sensitive,Dental problems
Chihuahua,Mexico,Brown,6-9,Blue,12-20,sensitive,eye issues
Chihuahua,Mexico,Brown,6-9,Blue,12-20,sensitive,respiratory issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,Loyal,Dental problems
Chihuahua,Mexico,Tan,6-9,Brown,12-20,Loyal,eye issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,energetic,Dental problems
Chihuahua,Mexico,Tan,6-9,Brown,12-20,energetic,eye issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,energetic,respiratory issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,confident,Dental problems
Chihuahua,Mexico,Tan,6-9,Brown,12-20,confident,eye issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,confident,respiratory issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,sensitive,Dental problems
Chihuahua,Mexico,Tan,6-9,Brown,12-20,sensitive,eye issues
Chihuahua,Mexico,Tan,6-9,Brown,12-20,sensitive,respiratory issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,Loyal,Dental problems
Chihuahua,Mexico,Tan,6-9,Blue,12-20,Loyal,eye issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,Loyal,respiratory issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,energetic,Dental problems
Chihuahua,Mexico,Tan,6-9,Blue,12-20,energetic,eye issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,energetic,respiratory issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,confident,Dental problems
Chihuahua,Mexico,Tan,6-9,Blue,12-20,confident,eye issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,confident,respiratory issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,sensitive,Dental problems
Chihuahua,Mexico,Tan,6-9,Blue,12-20,sensitive,eye issues
Chihuahua,Mexico,Tan,6-9,Blue,12-20,sensitive,respiratory issues
Chihuahua,Mexico,White,6-9,Brown,12-20,Loyal,Dental problems
Chihuahua,Mexico,White,6-9,Brown,12-20,Loyal,eye issues
Chihuahua,Mexico,White,6-9,Brown,12-20,Loyal,respiratory issues
Chihuahua,Mexico,White,6-9,Brown,12-20,energetic,Dental problems
Chihuahua,Mexico,White,6-9,Brown,12-20,energetic,eye issues
Chihuahua,Mexico,White,6-9,Brown,12-20,energetic,respiratory issues
Chihuahua,Mexico,White,6-9,Brown,12-20,confident,Dental problems
Chihuahua,Mexico,White,6-9,Brown,12-20,confident,eye issues
Chihuahua,Mexico,White,6-9,Brown,12-20,confident,respiratory issues
Chihuahua,Mexico,White,6-9,Brown,12-20,sensitive,Dental problems
Chihuahua,Mexico,White,6-9,Brown,12-20,sensitive,eye issues
Chihuahua,Mexico,White,6-9,Brown,12-20,sensitive,respiratory issues
Chihuahua,Mexico,White,6-9,Blue,12-20,Loyal,Dental problems
Chihuahua,Mexico,White,6-9,Blue,12-20,Loyal,eye issues
Chihuahua,Mexico,White,6-9,Blue,12-20,Loyal,respiratory issues
Chihuahua,Mexico,White,6-9,Blue,12-20,energetic,Dental problems
Chihuahua,Mexico,White,6-9,Blue,12-20,energetic,eye issues
Chihuahua,Mexico,White,6-9,Blue,12-20,energetic,respiratory issues
Chihuahua,Mexico,White,6-9,Blue,12-20,confident,Dental problems
Chihuahua,Mexico,White,6-9,Blue,12-20,confident,eye issues
Chihuahua,Mexico,White,6-9,Blue,12-20,confident,respiratory issues
Chihuahua,Mexico,White,6-9,Blue,12-20,sensitive,Dental problems
Chihuahua,Mexico,White,6-9,Blue,12-20,sensitive,eye issues
Chihuahua,Mexico,White,6-9,Blue,12-20,sensitive,respiratory issues
Boxer,Germany,Fawn,21-25,Brown,10-12,Loyal,Hip dysplasia
Boxer,Germany,Fawn,21-25,Brown,10-12,Loyal,cancer
Boxer,Germany,Fawn,21-25,Brown,10-12,Loyal,heart conditions
Boxer,Germany,Fawn,21-25,Brown,10-12,energetic,Hip dysplasia
Boxer,Germany,Fawn,21-25,Brown,10-12,energetic,cancer
Boxer,Germany,Fawn,21-25,Brown,10-12,energetic,heart conditions
Boxer,Germany,Fawn,21-25,Brown,10-12,intelligent,Hip dysplasia
Boxer,Germany,Fawn,21-25,Brown,10-12,intelligent,cancer
Boxer,Germany,Fawn,21-25,Brown,10-12,intelligent,heart conditions
Boxer,Germany,Fawn,21-25,Brown,10-12,playful,Hip dysplasia
Boxer,Germany,Fawn,21-25,Brown,10-12,playful,cancer
Boxer,Germany,Fawn,21-25,Brown,10-12,playful,heart conditions
Boxer,Germany,Fawn,21-25,Brown,10-12,protective,Hip dysplasia
Boxer,Germany,Fawn,21-25,Brown,10-12,protective,cancer
Boxer,Germany,Fawn,21-25,Brown,10-12,protective,heart conditions
Boxer,Germany,Brindle,21-25,Brown,10-12,Loyal,Hip dysplasia
Boxer,Germany,Brindle,21-25,Brown,10-12,Loyal,cancer
Boxer,Germany,Brindle,21-25,Brown,10-12,Loyal,heart conditions
Boxer,Germany,Brindle,21-25,Brown,10-12,energetic,Hip dysplasia
Boxer,Germany,Brindle,21-25,Brown,10-12,energetic,cancer
Boxer,Germany,Brindle,21-25,Brown,10-12,energetic,heart conditions
Boxer,Germany,Brindle,21-25,Brown,10-12,intelligent,Hip dysplasia
Boxer,Germany,Brindle,21-25,Brown,10-12,intelligent,cancer
Boxer,Germany,Brindle,21-25,Brown,10-12,intelligent,heart conditions
Boxer,Germany,Brindle,21-25,Brown,10-12,playful,Hip dysplasia
Boxer,Germany,Brindle,21-25,Brown,10-12,playful,cancer
Boxer,Germany,Brindle,21-25,Brown,10-12,playful,heart conditions
Boxer,Germany,Brindle,21-25,Brown,10-12,protective,Hip dysplasia
Boxer,Germany,Brindle,21-25,Brown,10-12,protective,cancer
Boxer,Germany,Brindle,21-25,Brown,10-12,protective,heart conditions
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,Intelligent,Hip dysplasia
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,Intelligent,cancer
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,Intelligent,skin allergies
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,friendly,Hip dysplasia
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,friendly,cancer
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,friendly,skin allergies
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,kind,Hip dysplasia
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,kind,cancer
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,kind,skin allergies
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,loyal,Hip dysplasia
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,loyal,cancer
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,loyal,skin allergies
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,good-natured,Hip dysplasia
Golden Retriever,Scotland,Golden,21-24,Brown,10-12,good-natured,cancer
